run_id,timestamp,approach,repo,original_branch,tangled_sha,total_hunks,groups_produced,total_invocations,total_duration_ms,build_cmd,notes
20260413_151955,2026-04-13 15:21:35,programmatic,commandline,detangling-manual-smaller,9b42d27f17320185511b14dbaf71af324ec32b40,8,5,43,99505,dotnet build --no-restore,
20260413_161838,2026-04-13 16:20:14,programmatic,commandline,detangling-manual-smaller,ebf67ed0838f72a1b107579bb734c42ea90fcd40,8,5,43,94712,dotnet build --no-restore,
20260413_164203,2026-04-13 17:03:01,programmatic,commandline,detangling_manual,f0a9f451a0941f16aee0e83a1724d37fe22575a9,75,5,980,1256066,dotnet build --no-restore,
20260415_111052,2026-04-15 11:41:32,programmatic,commandline,detangling_manual,4eeaa23ce602414f772983a3068c4d6e99c93815,75,23,642,1835689,dotnet build --no-restore,
20260419_131332,2026-04-19 13:30:40,programmatic,commandline,detangling_manual,f047444a42b294acd9f7b3563a5a5be4fbc905f9,75,13,479,1026416,dotnet build --no-restore,
20260419_140741,2026-04-19 14:31:06,programmatic,commandline,detangling_manual,b64e50aa3202d8c4f1ed688dd44dc6ba134e3af2,75,23,642,1402132,dotnet build --no-restore --no-incremental,
20260419_143323,2026-04-19 14:55:18,programmatic,commandline,detangling_manual,e21af240126b8e097f54f800df3b16bd86f336f0,75,23,642,1312102,dotnet build --no-restore --no-incremental,
20260419_163821,2026-04-19 17:05:36,programmatic,commandline,detangling_manual,cd525ef43ccbdd749d09d3a05196b14ec554a049,75,6,831,1631292,dotnet build --no-restore,
20260420_114157,2026-04-20 11:44:13,programmatic,commandline,detangling_manual,77501d67537d8d9fff3f900c6f6f57ba950b2493,75,1,49,135276,dotnet build --no-restore,
20260427_150900,2026-04-27 15:13:30,programmatic,commandline,detangling_manual,7e06043a1745cbca3782f181d6407e1731eb9a8f,75,4,152,270214,dotnet build --no-restore,
20260427_181946,2026-04-27 18:22:47,programmatic,commandline,testing,c8f3689739c79baf417283c4414faa4ed6957215,75,4,152,180589,dotnet build --no-restore,
20260427_185322,2026-04-27 18:56:25,programmatic,commandline,testing,a698da560cad53acb9f88976813a80c48e1d3b1d,75,4,152,181578,dotnet build --no-restore,
20260427_191809,2026-04-27 19:21:19,programmatic,commandline,testing,bdfcc47edce2d646fc63de3d598f079078691823,75,4,152,189196,dotnet build --no-restore,
20260427_193052,2026-04-27 19:34:03,programmatic,commandline,testing,a3aeb4c1a7c6fa0777dda519965e65f03952dcdb,75,4,152,190071,dotnet build --no-restore,
20260427_193442,2026-04-27 19:38:36,programmatic,commandline,testing,604195a855c8bee6f52aa3e1e66048bd4b3a0480,75,4,152,233419,dotnet build --no-restore,
20260427_193907,2026-04-27 19:43:11,programmatic,commandline,testing,bf9dde7b65377fecc590ff83ce75325b7d032ee0,75,4,152,243839,dotnet build --no-restore,
20260427_194456,2026-04-27 19:48:39,programmatic,commandline,testing,cb6bbd4f6c48bf88bff355e4d2ef36433b115549,75,4,152,221603,dotnet build --no-restore,
20260427_194929,2026-04-27 19:54:13,programmatic,commandline,testing,618442c0a9a738a5f90fdd1c98919f272ede623a,75,4,152,281112,dotnet build --no-restore,
20260427_195730,2026-04-27 20:02:13,programmatic,commandline,testing,b311bb7e290446d99783fdcfb9ce5fcdb196dd68,75,4,152,281107,dotnet build --no-restore,
20260427_204723,2026-04-27 21:11:42,programmatic,commandline,testing,ebc4e971037a16dcd4ca02a7d91294ede5cad57a,75,13,901,1456978,dotnet build --no-restore,
20260427_211852,2026-04-27 23:00:27,programmatic,commandline,testing,3e5d2a844051902a98ae8931ed0e993f9a5e7627,75,54,3581,6089149,dotnet build --no-restore,
